<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.04.09	24.876	26.081	24.709	25.374	119283	0	5
2023.04.16	25.315	25.601	24.637	25.067	122725	0	5
2023.04.23	25.050	25.350	24.489	25.032	129164	0	5
2023.04.30	25.065	26.122	24.572	25.633	141909	0	5
2023.05.07	25.656	25.912	23.730	23.961	117319	0	5
2023.05.14	23.933	24.206	23.318	23.827	124095	0	5
2023.05.21	23.826	23.913	22.664	23.303	164536	0	6
2023.05.28	23.257	24.006	22.916	23.607	163885	0	6
2023.06.04	23.573	24.520	23.241	24.272	164133	0	6
2023.06.11	24.239	24.401	23.196	24.177	166990	0	6
2023.06.18	24.169	24.171	22.095	22.416	161056	0	6
2023.06.25	22.409	23.090	22.270	22.751	163693	0	8
2023.07.02	22.754	23.294	22.515	23.065	138953	0	7
2023.07.09	23.054	25.013	22.741	24.909	155007	0	6
2023.07.16	24.878	25.257	24.574	24.600	156185	0	5
2023.07.23	24.598	25.138	24.032	24.323	163471	0	9
2023.07.30	24.345	24.834	23.137	23.623	160110	0	6
2023.08.06	23.623	23.669	22.567	22.677	137124	0	9
2023.08.13	22.677	23.003	22.214	22.737	148347	0	5
2023.08.20	22.736	24.374	22.652	24.198	147424	0	6
2023.08.27	24.211	25.005	24.040	24.163	137997	0	5
2023.09.03	24.165	24.280	22.828	22.924	131079	0	5
2023.09.10	22.908	23.281	22.291	23.011	146900	0	7
2023.09.17	23.039	23.763	22.800	23.547	136528	0	8
2023.09.24	23.547	23.639	22.103	22.175	140298	0	6
2023.10.01	22.119	22.175	20.671	21.548	173042	0	6
2023.10.08	21.884	22.808	21.564	22.663	156486	0	6
2023.10.15	22.669	23.691	22.355	23.357	170133	0	6
2023.10.22	23.090	23.326	22.435	23.095	163155	0	7
2023.10.29	23.111	23.597	22.533	23.180	155214	0	5
2023.11.05	23.154	23.247	22.185	22.231	153800	0	7
2023.11.12	22.300	24.139	21.872	23.701	152145	0	5
2023.11.19	23.635	24.333	23.236	24.318	153802	0	9
2023.11.26	24.320	25.512	24.249	25.449	180995	0	5
2023.12.03	25.465	25.913	22.933	22.983	193378	0	6
2023.12.10	23.022	24.278	22.500	23.835	175519	0	6
2023.12.17	23.839	24.595	23.653	24.171	159480	0	5
2023.12.24	24.213	24.477	23.529	23.767	115339	0	6
2023.12.31	23.831	24.090	22.569	23.169	144457	0	6
2024.01.07	23.118	23.523	22.465	23.169	169263	0	7
2024.01.14	23.165	23.320	22.402	22.594	154311	0	5
2024.01.21	22.582	23.019	21.916	22.777	155039	0	5
2024.01.28	22.921	23.316	22.391	22.679	163288	0	4
2024.02.04	22.691	22.716	22.134	22.591	192197	0	6
2024.02.11	22.621	23.497	21.926	23.406	213117	0	5
2024.02.18	23.346	23.440	22.554	22.924	205894	0	5
2024.02.25	22.844	23.260	22.265	23.125	192090	0	6
2024.03.03	23.119	24.626	23.004	24.303	267572	0	7
2024.03.10	24.356	25.438	23.997	25.153	278924	0	6
2024.03.17	25.114	25.764	24.393	24.658	288654	0	7
2024.03.24	24.692	24.993	24.310	24.976	202350	0	6
